tag,label,year,rank
Culture,Culture,2006,1
Global Issues,Global Issues,2006,2
Technology,Technology,2006,3
Business,Business,2006,3
Science,Science,2006,4
Entertainment,Entertainment,2006,5
Technology,Technology,2007,1
Culture,Culture,2007,2
Global Issues,Global Issues,2007,3
Design,Design,2007,4
Entertainment,Entertainment,2007,5
Technology,Technology,2008,1
Entertainment,Entertainment,2008,2
Design,Design,2008,3
Global Issues,Global Issues,2008,4
Science,Science,2008,4
Culture,Culture,2008,5
Technology,Technology,2009,1
Design,Design,2009,2
Science,Science,2009,3
Global Issues,Global Issues,2009,4
Culture,Culture,2009,5
Technology,Technology,2010,1
Science,Science,2010,2
Global Issues,Global Issues,2010,3
Culture,Culture,2010,4
Business,Business,2010,4
Design,Design,2010,5
Culture,Culture,2011,1
Technology,Technology,2011,2
Science,Science,2011,3
Global Issues,Global Issues,2011,4
Design,Design,2011,4
Entertainment,Entertainment,2011,5
Technology,Technology,2012,1
Science,Science,2012,2
Global Issues,Global Issues,2012,3
Culture,Culture,2012,4
Design,Design,2012,5
Technology,Technology,2013,1
Culture,Culture,2013,2
Global Issues,Global Issues,2013,3
Science,Science,2013,4
Design,Design,2013,5
Technology,Technology,2014,1
Global Issues,Global Issues,2014,2
Science,Science,2014,3
Business,Business,2014,4
Health,Health,2014,5
Technology,Technology,2015,1
Science,Science,2015,2
Global Issues,Global Issues,2015,3
Health,Health,2015,4
Design,Design,2015,5
Society,Society,2016,1
Innovation,Innovation,2016,2
Technology,Technology,2016,3
Future,Future,2016,4
Communication,Communication,2016,5
Society,Society,2017,1
Humanity,Humanity,2017,2
Social Change,Social Change,2017,3
Communication,Communication,2017,4
Technology,Technology,2017,5
